Branch,Month,Discount_Amount,Net_Sales,Orders
AirPort,2024-10-01,6126.08526,141175.6399,8554
AirPort,2024-11-01,4345.04276,125683.6408,7230
AirPort,2024-12-01,6105.91238,118705.3816,7283
AirPort,2025-01-01,4451.7392,121544.7728,7098
AirPort,2025-02-01,6395.21687,129211.7289,7509
AirPort,2025-03-01,3460.86931,95874.77305,5364
AirPort,2025-04-01,4662.82556,155200.6366,8666
AirPort,2025-05-01,5082.60816,166943.4604,9021
AirPort,2025-06-01,4852.60818,145500.422,7916
AirPort,2025-07-01,5191.65175,152430.9482,8230
AirPort,2025-08-01,5750.08637,169175.1235,8789
AirPort,2025-09-01,6685.82553,154336.7774,8930
Rose,2024-01-01,1911.52156,36104.99634,2824
Rose,2024-02-01,2591.84325,38126.24472,3037
Rose,2024-03-01,1472.73901,34447.25991,2703
Rose,2024-04-01,2691.304,50334.12788,3587
Rose,2024-05-01,3494.12992,45184.86618,3331
Rose,2024-06-01,2068.69534,41727.6048,2653
Rose,2024-07-01,3110.43431,50830.42881,2917
Rose,2024-08-01,1324.34764,48048.68976,2625
Rose,2024-09-01,1386.4347,37089.03982,2347
Rose,2024-10-01,2498.08632,35558.43221,2394
Rose,2024-11-01,1604.86931,33882.08449,2219
Rose,2024-12-01,1666.73022,34422.83284,2319
Rose,2025-01-01,1885.21739,37731.30214,2478
Rose,2025-02-01,2701.3041,43718.69315,2774
Rose,2025-03-01,1948.52162,46097.56218,2721
Rose,2025-04-01,2026.08676,52459.12606,2959
Rose,2025-05-01,1628.2608,53373.47303,2909
Rose,2025-06-01,1573.1303,49871.86596,2754
Rose,2025-07-01,1521.56512,56464.17068,2863
Rose,2025-08-01,1726.65193,56856.82423,2801
Rose,2025-09-01,938.78258,36106.43374,2041
PARK VIEW,2024-01-01,1622.73902,34826.82259,2604
PARK VIEW,2024-02-01,2092.4781,32227.60891,2475
PARK VIEW,2024-03-01,2000.8694,33441.7385,2585
PARK VIEW,2024-04-01,2697.60837,47572.60613,3282
PARK VIEW,2024-05-01,2956.52132,54600.64826,3943
PARK VIEW,2024-06-01,4147.82546,66454.55969,4523
PARK VIEW,2024-07-01,5564.347,76197.60154,4920
PARK VIEW,2024-08-01,2982.60825,80846.94864,4965
PARK VIEW,2024-09-01,3104.34756,61343.64765,4306
PARK VIEW,2024-10-01,3310.608,56276.34449,4100
PARK VIEW,2024-11-01,2596.34747,54185.38798,3874
PARK VIEW,2024-12-01,4208.67773,49263.49444,3748
PARK VIEW,2025-01-01,3417.82596,53367.38855,3744
PARK VIEW,2025-02-01,3350.43454,58757.3881,3925
PARK VIEW,2025-03-01,3234.78234,60176.51914,4181
PARK VIEW,2025-04-01,3653.91254,68671.29874,4300
PARK VIEW,2025-05-01,3168.26054,65188.25398,3802
